Species,Predator,IUCN_Red_List_status,Accused_by_IUCN_Red_List,Reference,Reference_ID,Cat_EPBC_threat_rating,Fox_EPBC_threat_rating_if_no_cat,Threat_rating_standardized,Latitude,Longitude,evidence_cat,evidence_fine_scale,direction,Is_there_predator_population_data,Is_there_prey_population_data,Control_site_or_spatial_variation,Confounders_or_alternatives,Sample_size_greater_than_1,Sample_size,BACI
Potorous tridactylus,Fox,NT,1,"Claridge, A.W., Mills, D.J. and Barry, S.C., 2010. Prevalence of threatened native species in canid scats from coastal and near-coastal landscapes in south-eastern Australia. Australian Mammalogy, 32(2), pp.117-126.",Claridge et al 2010 Australian Mammalogy,Very high,,Very high,-34.67,150.7,Predation,Diet,1,no,no,,,,,
Potorous tridactylus,Fox,NT,1,"Claridge, A.W., Mills, D.J. and Barry, S.C., 2010. Prevalence of threatened native species in canid scats from coastal and near-coastal landscapes in south-eastern Australia. Australian Mammalogy, 32(2), pp.117-126.",Claridge et al 2010 Australian Mammalogy,Very high,,Very high,-32.06,151.66,Predation,Diet,1,no,no,,,,,
Potorous tridactylus,Fox,NT,1,"Davis, N.E., Forsyth, D.M., Triggs, B., Pascoe, C., Benshemesh, J., Robley, A., Lawrence, J., Ritchie, E.G., Nimmo, D.G. and Lumsden, L.F., 2015. Interspecific and geographic variation in the diets of sympatric carnivores: dingoes/wild dogs and red foxes in south-eastern Australia. PloS One, 10(3), p.e0120975.",Davies et al 2015 PloS One,Very high,,Very high,-36.98,143.39,Predation,Diet,1,no,no,,,,,
Potorous tridactylus,Fox,NT,1,"Glen, A.S. and Dickman, C.R., 2008. Niche overlap between marsupial and eutherian carnivores: does competition threaten the endangered spotted‐tailed quoll?. Journal of Applied Ecology, 45(2), pp.700-707.",Glen and Dickman 2008 Journal of Applied Ecology,Very high,,Very high,-30.11666667,152.3833333,Predation,Diet,1,no,no,,,,,
Potorous tridactylus,Fox,NT,1,"Glen, A.S., Pennay, M., Dickman, C.R., Wintle, B.A. and Firestone, K.B., 2011. Diets of sympatric native and introduced carnivores in the Barrington Tops, eastern Australia. Austral Ecology, 36(3), pp.290-296.",Glen et al 2011 Austral Ecology,Very high,,Very high,-32.06,151.66,Predation,Diet,1,no,no,,,,,
Potorous tridactylus,Fox,NT,1,"Lunney, D., Triggs, B., Eby, P. and Ashby, E., 1990. Analysis of scats of dogs Canis-familiaris and foxes Vulpes-Vulpes (Canidae, Carnivora) in coastal forests near Bega, New-South-Wales. Wildlife Research, 17(1), pp.61-68.",Lunney et al 1990 Wildlife Research,Very high,,Very high,-36.34,149.56,Predation,Diet,1,no,no,,,,,
Potorous tridactylus,Fox,NT,1,"Norton, M.A., Prentice, A., Dingle, J., French, K. and Claridge, A.W., 2015. Population characteristics and management of the long-nosed potoroo (Potorous tridactylus) in high-quality habitat in the Southern Highlands of New South Wales. Australian Mammalogy, 37(1), pp.67-74.",Norton et al 2015 Australian Mammalogy,Very high,,Very high,-34.67,150.7,Predation,Diet,1,no,no,,,,,
Potorous tridactylus,Fox,NT,1,"Long, K.I., 2001. Spatio-temporal interactions among male and female Long-nosed Potoroos, Potorous tridactylus (Marsupialia: Macropodoidea): mating system implications. Australian Journal of Zoology, 49(1), pp.17-26.",Long 2001 Australian Journal of Zoology,Very high,,Very high,-38.24,142.43,Predation,Hunted,1,no,no,,,,,
Potorous tridactylus,Fox,NT,1,"Robley, A., Gormley, A.M., Forsyth, D.M. and Triggs, B., 2014. Long-term and large-scale control of the introduced red fox increases native mammal occupancy in Australian forests. Biological Conservation, 180, pp.262-269.",Robley et al 2014 Biological Conservation,Very high,,Very high,-38.07,147.37,Baiting,Baiting_temporal,1,no,yes,,,,,
Potorous tridactylus,Fox,NT,1,"Dexter, N. and Murray, A., 2009. The impact of fox control on the relative abundance of forest mammals in East Gippsland, Victoria. Wildlife Research, 36(3), pp.252-261.",Dexter 2009 Wildlife Research,Very high,,Very high,-37.4976,148.189,Baiting,Baiting_spatial,1,no,yes,,,,,
Potorous tridactylus,Fox,NT,1,"Norton, M.A., Prentice, A., Dingle, J., French, K. and Claridge, A.W., 2015. Population characteristics and management of the long-nosed potoroo (Potorous tridactylus) in high-quality habitat in the Southern Highlands of New South Wales. Australian Mammalogy, 37(1), pp.67-74.",Norton et al 2015 Australian Mammalogy,Very high,,Very high,-34.67,150.7,Population,Spatial,0,yes,yes,yes,no,yes,2,no
Potorous tridactylus,Fox,NT,1,"Robley, A.J., Cally, J.G., Murray, A., Bluff, L., Collyer, A., Borg, N. and Phillips, L., 2022. The response of native species to the 2019–20 bushfires and introduced predators in far East Gippsland. Arthur Rylah Institute for Environmental Research Technical Report Series No. 329. Department of Environment. Land, Water and Planning, Heidelberg.","Robley et al 2022 Department of Environment, Land, Water and Planning",Very high,,Very high,-36.98,143.39,Population,Spatial,0,yes,yes,yes,yes,yes,240,no
Pseudantechinus mimulus,Cat,NT,1,,,,,Moderate,,,,,,,,,,,,
Pseudocheirus occidentalis,Cat,CR,1,"Clarke, J.R., 2011. Translocation outcomes for the western ringtail possum (Pseudocheirus occidentalis) in the presence of the common brushtail possum (Trichosurus vulpecula): health, survivorship and habitat use. Doctoral dissertation, Murdoch University.",Clarke 2011 Thesis Murdoch University,Very high/Extreme,,Very high/Extreme,-33.23,115.68,Predation,Hunted_reintroduced,1,no,no,,,,,
Pseudocheirus occidentalis,Cat,CR,1,"Wayne, A.F., Rooney, J.F., Ward, C.G., Vellios, C.V. and Lindenmayer, D.B., 2005. The life history of Pseudocheirus occidentalis (Pseudocheiridae) in the jarrah forest of south-western Australia. Australian Journal of Zoology, 53(5), pp.325-337.",Wayne et al 2005 Australian Journal of Zoology,Very high/Extreme,,Very high/Extreme,-34.2767,116.3992,Predation,Hunted,1,no,no,,,,,
Pseudocheirus occidentalis,Fox,CR,1,"Wayne, A.F., Rooney, J.F., Ward, C.G., Vellios, C.V. and Lindenmayer, D.B., 2005. The life history of Pseudocheirus occidentalis (Pseudocheiridae) in the jarrah forest of south-western Australia. Australian Journal of Zoology, 53(5), pp.325-337.",Wayne et al 2005 Australian Journal of Zoology,Very high/Extreme,,Very high/Extreme,-34.2767,116.3992,Predation,Hunted,1,no,no,,,,,
Pseudocheirus occidentalis,Fox,CR,1,"Clarke, J.R., 2011. Translocation outcomes for the western ringtail possum (Pseudocheirus occidentalis) in the presence of the common brushtail possum (Trichosurus vulpecula): health, survivorship and habitat use. Doctoral dissertation, Murdoch University.",Clarke 2011 Thesis Murdoch University,Very high/Extreme,,Very high/Extreme,-33.23,115.68,Predation,Hunted_reintroduced,1,no,no,,,,,
Pseudocheirus occidentalis,Fox,CR,1,"Grimm, H.L. and De Tores, P.J., 2009. Some aspects of the biology of the common brushtail possum, Trichosurus vulpecula, and the threatened western ringtail possum, Pseudocheirus occidentalis, in a pine plantation scheduled for harvesting and in adjacent turat and peppermint woodland near Busselton, Western Australia. Government of Western Australia, Perth.",Grimm and De Tores 2009 Government of Western Australia,Very high/Extreme,,Very high/Extreme,-33.58,115.48,Predation,Hunted,1,no,no,,,,,
Pseudocheirus occidentalis,Fox,CR,1,"Jones, B.A., How, R.A. and Kitchener, D.J., 1994. A field study of Pseudocheirus occidentalis (Marsupialia: Petauridae) II. Population studies. Wildlife Research, 21(2), pp.189-201.",Jones et al 1994 Wildlife Research,Very high/Extreme,,Very high/Extreme,-33.57,115.26,Predation,Hunted,1,no,no,,,,,
Pseudocheirus occidentalis,Fox,CR,1,"Wayne, A.F., Maxwell, M.A., Ward, C.G., Wayne, J.C., Vellios, C.V. and Wilson, I.J., 2017. Recoveries and cascading declines of native mammals associated with control of an introduced predator. Journal of Mammalogy, 98(2), pp.489-501.",Wayne et al 2017 Journal of Mammalogy,Very high/Extreme,,Very high/Extreme,-34.37,116.28,Baiting,Baiting_temporal,0,no,yes,,,,,
Pseudomys australis,Cat,VU,1,"Pavey, C.R., Cole, J.R., McDonald, P.J. and Nano, C.E., 2014. Population dynamics and spatial ecology of a declining desert rodent, Pseudomys australis: the importance of refuges for persistence. Journal of Mammalogy, 95(3), pp.615-625.",Pavey et al 2014 Journal of Mammlogy,Very high,,Very high,-25.41,135.29,Predation,Diet,1,no,no,,,,,
Pseudomys australis,Cat,VU,1,"Pavey, C.R., Eldridge, S.R. and Heywood, M., 2008. Population dynamics and prey selection of native and introduced predators during a rodent outbreak in arid Australia. Journal of Mammalogy, 89(3), pp.674-683.",Pavey et al 2008 Journal of Mammalogy,Very high,,Very high,-25.934,138.676,Predation,Diet,1,no,no,,,,,
Pseudomys australis,Cat,VU,1,"Read, J.L. and Cunningham, R., 2010. Relative impacts of cattle grazing and feral animals on an Australian arid zone reptile and small mammal assemblage. Austral Ecology, 35(3), pp.314-324.",Read and Cunningham 2010 Austral Ecology,Very high,,Very high,-30.29,136.53,Population,Exclusion,1,no,no,,,,,
Pseudomys australis,Cat,VU,1,"Moseby, K.E., McGregor, H., Hill, B.M. and Read, J.L., 2020. Exploring the internal and external wildlife gradients created by conservation fences. Conservation Biology, 34(1), pp.220-231.",Moseby et al 2020 Conservation Biology,Very high,,Very high,-30.29,136.53,Population,Exclusion,1,yes,yes,yes,yes,yes,,no
Pseudomys australis,Fox,VU,1,"Pavey, C.R., Eldridge, S.R. and Heywood, M., 2008. Population dynamics and prey selection of native and introduced predators during a rodent outbreak in arid Australia. Journal of Mammalogy, 89(3), pp.674-683.",Pavey et al 2008 Journal of Mammalogy,Very high,,Very high,-25.934,138.676,Predation,Diet,1,no,no,,,,,
Pseudomys australis,Fox,VU,1,"Pavey, C.R., Cole, J.R., McDonald, P.J. and Nano, C.E., 2014. Population dynamics and spatial ecology of a declining desert rodent, Pseudomys australis: the importance of refuges for persistence. Journal of Mammalogy, 95(3), pp.615-625.",Pavey et al 2014 Journal of Mammlogy,Very high,,Very high,-25.41,135.29,Predation,Diet,1,no,no,,,,,
Pseudomys australis,Fox,VU,1,"Read, J.L. and Cunningham, R., 2010. Relative impacts of cattle grazing and feral animals on an Australian arid zone reptile and small mammal assemblage. Austral Ecology, 35(3), pp.314-324.",Read and Cunningham 2010 Austral Ecology,Very high,,Very high,-30.29,136.53,Population,Exclusion,1,no,no,,,,,
Pseudomys fieldi,Cat,VU,1,,,,,Moderate,,,,,,,,,,,,
Pseudomys fieldi,Fox,VU,1,,,,,Moderate,,,,,,,,,,,,
Pseudomys fumeus,Cat,VU,1,"Cockburn, A. 1981. Population regulation and dispersion of the Smoky Mouse Pseudomys fumeus. II. Spring decline, breeding success and habitat heterogeneity. Australian Journal of Ecology 6: 255-266.",Cockburn 1981 Australian Journal of Ecology,Very high,,Very high,-37.29,142.6,Predation,Diet,1,no,no,,,,,
Pseudomys fumeus,Fox,VU,1,"Davis, N.E., Forsyth, D.M., Triggs, B., Pascoe, C., Benshemesh, J., Robley, A., Lawrence, J., Ritchie, E.G., Nimmo, D.G. and Lumsden, L.F., 2015. Interspecific and geographic variation in the diets of sympatric carnivores: dingoes/wild dogs and red foxes in south-eastern Australia. PloS One, 10(3), p.e0120975.",Davies et al 2015 PloS One,Not assessed,Major,High,-36.98,143.39,Predation,Diet,1,no,no,,,,,
Pseudomys novaehollandiae,Cat,VU,1,,,,,Very high,,,,,,,,,,,,
Pseudomys novaehollandiae,Fox,VU,1,"Mitchell, B.D. and Banks, P.B., 2005. Do wild dogs exclude foxes? Evidence for competition from dietary and spatial overlaps. Austral Ecology, 30(5), pp.581-591.",Mitchell and Banks 2005 Austral Ecology,Not assessed,A threat,Moderate,-33.375,150.5083333,Predation,Diet,1,no,no,,,,,
Pseudomys novaehollandiae,Fox,VU,1,"Pascoe, J.H., Mulley, R.C., Spencer, R. and Chapple, R., 2012. Diet analysis of mammals, raptors and reptiles in a complex predator assemblage in the Blue Mountains, eastern Australia. Australian Journal of Zoology, 59(5), pp.295-301.",Pascoe et al 2012 Australian Journal of Zoology,Not assessed,A threat,Moderate,-33.375,150.5083333,Predation,Diet,1,no,no,,,,,
Pseudomys occidentalis,Cat,NT,1,,,,,High,,,,,,,,,,,,
Pseudomys occidentalis,Fox,NT,1,,,,,N/A,,,,,,,,,,,,
Pseudomys oralis,Cat,VU,1,,,,,High,,,,,,,,,,,,
Pseudomys oralis,Fox,VU,1,"Meek, P.D. and Triggs, B., 1999. A record of Hastings River Mouse (Pseudomys oralis) in a fox (Vulpes vulpes) scat from New South Wales. In Proceedings-Linnean Society of New South Wales (Vol. 121, pp. 193-197). Linnean Society of New South Wales.",Meek and Triggs 1999 Linnean Society of New South Wales,High,,High,-30.16,152.37,Predation,Diet,1,no,no,,,,,
Pseudomys shortridgei,Cat,NT,1,,,,,High,,,,,,,,,,,,
Pseudomys shortridgei,Fox,NT,1,"Davis, N.E., Forsyth, D.M., Triggs, B., Pascoe, C., Benshemesh, J., Robley, A., Lawrence, J., Ritchie, E.G., Nimmo, D.G. and Lumsden, L.F., 2015. Interspecific and geographic variation in the diets of sympatric carnivores: dingoes/wild dogs and red foxes in south-eastern Australia. PloS One, 10(3), p.e0120975.",Davies et al 2015 PloS One,Not assessed,,N/A,-36.98,143.39,Predation,Diet,1,no,no,,,,,
Pseudomys shortridgei,Fox,NT,1,"Sinclair, R., 2020. The diet of foxes in the Grampians (Gariwerd) National Park. Doctoral dissertation, Deakin University.",Sinclair 2020 Thesis Deakin University,Not assessed,,N/A,-37.21,142.398,Predation,Diet,1,no,no,,,,,
Pseudomys shortridgei,Fox,NT,1,"Nalliah, R., Sitters, H., Smith, A., & Di Stefano, J. 2021. Untangling the influences of fire, habitat and introduced predators on the endangered heath mouse. Animal Conservation. doi:10.1111/acv.12731",Nalliah et al 2021 Animal Conservation,Not assessed,,N/A,-37.21,142.398,Population,Spatial,1,yes,yes,yes,yes,yes,38,no
Setonix brachyurus,Cat,VU,1,"Bain, K.T., 2015. The ecology of the quokka (Setonix brachyurus) in the southern forests of Western Australia. Doctoral Thesis, The University of Western Australia.",Bain 2015 Thesis University of Western Australia,N/A,,N/A,-34.37,116.28,Predation,Hunted,1,no,no,,,,,
Setonix brachyurus,Cat,VU,1,"Hayward, M.W., de Tores, P.J., Augee, M.L. and Banks, P.B., 2005. Mortality and survivorship of the quokka (Setonix brachyurus)(Macropodidae: Marsupialia) in the northern jarrah forest of Western Australia. Wildlife Research, 32(8), pp.715-722.",Hayward et al 2005 Wildlife Research,N/A,,N/A,-32.74,116.06,Predation,Hunted,1,no,no,,,,,
Setonix brachyurus,Fox,VU,1,"Sinclair, E.A. and Hyder, B.M., 2009. Surviving quokka (Setonix brachyurus) population on the Swan Coastal Plain, Western Australia. Australian Mammalogy, 31(1), pp.67-69.",Sinclair and Hyder 2009 Australian Mammalogy,Not assessed,Not assessed,N/A,-31.21,115.3,Predation,Diet,1,no,no,,,,,
Setonix brachyurus,Fox,VU,1,"Hayward, M.W., de Tores, P.J., Augee, M.L. and Banks, P.B., 2005. Mortality and survivorship of the quokka (Setonix brachyurus)(Macropodidae: Marsupialia) in the northern jarrah forest of Western Australia. Wildlife Research, 32(8), pp.715-722.",Hayward et al 2005 Wildlife Research,Not assessed,Not assessed,N/A,-32.74,116.06,Predation,Hunted,1,no,no,,,,,
Setonix brachyurus,Fox,VU,1,"Hayward, M.W., de Tores, P.J., Dillon, M.J. and Banks, P.B., 2007. Predicting the occurrence of the quokka, Setonix brachyurus (Macropodidae: Marsupialia), in Western Australia’s northern jarrah forest. Wildlife Research, 34(3), pp.194-199.",Hayward et al 2007 Wildlife Research,Not assessed,Not assessed,N/A,-32.74,116.06,Baiting,Baiting_spatial,1,no,yes,,,,,
Setonix brachyurus,Fox,VU,1,"Hayward, M. 2002. The ecology of the Quokka (Setonix brachyurus) (Macropodidae: Marsupialia) in the northern jarrah forest of Australia. University of New South Wales.",Hayward 2002 University of New South Wales,Not assessed,Not assessed,N/A,-32.74,116.06,Population,Timing,1,no,yes,,,,,
Sminthopsis bindi,Cat,NT,1,"Stokeld, D., Gentles, T., Young, S., Hill, B., Fisher, A., Woinarski, J. and Gillespie, G., 2016. Experimental evaluation of the role of feral cat predation in the decline of small mammals in Kakadu National Park. NT Department of Land Resource Management, Berrimah.",Stokeld et al 2016 NT Department of Land Resource Management,High/Very High,,High/Very High,-13.09,132.39,Predation,Diet,1,no,no,,,,,
Sminthopsis butleri,Cat,NT,1,"Stobo-Wilson, A.M., Stokeld, D., Einoder, L.D., Davies, H.F., Fisher, A., Hill, B.M., Mahney, T., Murphy, B.P., Scroggie, M.P., Stevens, A. and Woinarski, J.C.Z., 2020. Bottom-up and top-down processes influence contemporary patterns of mammal species richness in Australia's monsoonal tropics. Biological Conservation, 247, p.108638.",Stobo-Wilson et al 2020 Biological Conservation,Moderate,,Moderate,-13.09,132.39,Population,Spatial,1,yes,yes,yes,yes,yes,312,no
Sminthopsis douglasi,Cat,NT,1,"Kutt, A.S., 2003. New records of the Julia Creek Dunnart Sminthopsis douglasi in central-north Queensland. Australian Zoologist, 32(2), pp.257-260.",Kutt 2003 Australian Zoologist,Very high,,Very high,-23.55,145.29,Predation,Diet,1,no,no,,,,,
Sminthopsis douglasi,Cat,NT,1,"Kutt, A.S., 2011. The diet of the feral cat (Felis catus) in north-eastern Australia. Acta Theriologica, 56(2), pp.157-169.",Kutt 2011 Acta Theriologica,Very high,,Very high,-20.3,143.45,Predation,Diet,1,no,no,,,,,
Sminthopsis douglasi,Cat,NT,1,"Kutt, A.S., 2012. Feral cat (Felis catus) prey size and selectivity in north‐eastern A ustralia: implications for mammal conservation. Journal of Zoology, 287(4), pp.292-300.",Kutt 2012 Journal of Zoology,Very high,,Very high,-20.3,143.45,Predation,Diet,1,no,no,,,,,
Sminthopsis douglasi,Cat,NT,1,"Mifsud, G. and Woolley, P.A., 2012. Predation of the Julia Creek dunnart (Sminthopsis douglasi) and other native fauna by cats and foxes on Mitchell grass downs in Queensland. Australian Mammalogy, 34(2), pp.188-195.",Mifsud and Woolley 2012 Australian Mammalogy,Very high,,Very high,-20.65,141.74,Predation,Diet,1,no,no,,,,,
Sminthopsis douglasi,Cat,NT,1,"Kutt, A.S., 2012. Feral cat (Felis catus) prey size and selectivity in north‐eastern A ustralia: implications for mammal conservation. Journal of Zoology, 287(4), pp.292-300.",Kutt 2012 Journal of Zoology,Very high,,Very high,-20.3,143.45,Predation,Preference,0,no,no,,,,,
Sminthopsis douglasi,Fox,NT,1,"Kutt, A.S., 2003. New records of the Julia Creek Dunnart Sminthopsis douglasi in central-north Queensland. Australian Zoologist, 32(2), pp.257-260.",Kutt 2003 Australian Zoologist,Not assessed,A threat,Moderate,-23.55,145.29,Predation,Diet,1,no,no,,,,,
Sminthopsis psammophila,Cat,VU,1,,,,,Very high,,,,,,,,,,,,
Sminthopsis psammophila,Fox,VU,1,,,,,Very high,,,,,,,,,,,,
Wyulda squamicaudata,Cat,NT,1,,,,,High,,,,,,,,,,,,
Xeromys myoides,Cat,VU,1,,,,,Moderate,,,,,,,,,,,,
Xeromys myoides,Fox,VU,0,,,,,Minor,,,,,,,,,,,,
Zyzomys maini,Cat,VU,1,"Stobo-Wilson, A.M., Stokeld, D., Einoder, L.D., Davies, H.F., Fisher, A., Hill, B.M., Mahney, T., Murphy, B.P., Scroggie, M.P., Stevens, A. and Woinarski, J.C.Z., 2020. Bottom-up and top-down processes influence contemporary patterns of mammal species richness in Australia's monsoonal tropics. Biological Conservation, 247, p.108638.",Stobo-Wilson et al 2020 Biological Conservation,High/Very High,,High/Very High,-13.09,132.39,Population,Spatial,1,yes,yes,yes,yes,yes,312,no
Zyzomys palatalis,Cat,CR,1,,,,,Very high,,,,,,,,,,,,
Zyzomys pedunculatus,Cat,CR,1,"McDonald, P.J., Brittingham, R., Nano, C. and Paltridge, R., 2014. A new population of the critically endangered central rock-rat (Zyzomys pedunculatus) discovered in the Northern Territory. Australian Mammalogy, 37(1), pp.97-100.",McDonald et al 2014 Australian Mammlogy,Very high,,Very high,-23.35,131.91,Predation,Diet,1,no,no,,,,,
Zyzomys pedunculatus,Fox,CR,1,,,,,Minor,,,,,,,,,,,,
