Study_ID,Reference,Prey_Species,Study_site,Lat,Long,Predator_Species,Correlation,Site,Site_note,Time,Time_note,Predator,Prey,Predator_Units,Prey_Units,Data_source,Inclusion_problem,Comments
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,9,,0.471,0.403,Camera trapping,Camera trapping,"Fig 6 A,B",,
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,10,,0.542,0.972,Camera trapping,Camera trapping,"Fig 6 A,B",,
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,11,,0.542,0.869,Camera trapping,Camera trapping,"Fig 6 A,B",,
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,12,,0.271,1.368,Camera trapping,Camera trapping,"Fig 6 A,B",,
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,13,,0.336,1.509,Camera trapping,Camera trapping,"Fig 6 A,B",,
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,14,,0.206,0.604,Camera trapping,Camera trapping,"Fig 6 A,B",,
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,15,,0.601,0.701,Camera trapping,Camera trapping,"Fig 6 A,B",,
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,16,,0.737,1.476,Camera trapping,Camera trapping,"Fig 6 A,B",,
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,17,,1.543,1.173,Camera trapping,Camera trapping,"Fig 6 A,B",,
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,18,,1.765,0.907,Camera trapping,Camera trapping,"Fig 6 A,B",,
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,19,,1.478,1.606,Camera trapping,Camera trapping,"Fig 6 A,B",,
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,20,,1.278,0.831,Camera trapping,Camera trapping,"Fig 6 A,B",,
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,21,,0.769,0.436,Camera trapping,Camera trapping,"Fig 6 A,B",,
